location,count,link
"evanston (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#evanston%20(city)"
"the borah peak (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20borah%20peak%20(landform)"
"smith creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#smith%20creek%20(stream)"
"gospel hump wildneress (wilderness)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#gospel%20hump%20wildneress%20(wilderness)"
"boundary (county)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#boundary%20(county)"
"phoenix (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#phoenix%20(city)"
"palouse (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#palouse%20(landform)"
"toboggan ridge (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#toboggan%20ridge%20(landform)"
"benewah county (county)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#benewah%20county%20(county)"
"secesh river (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#secesh%20river%20(stream)"
"panhandle national forest (forest)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#panhandle%20national%20forest%20(forest)"
"priest river",3,"https://thecdil.github.io/wilderness-hearings/browse.html#priest%20river"
"cache peak (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#cache%20peak%20(landform)"
"boise forest (forest)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#boise%20forest%20(forest)"
"mallard-larkins pioneer area (wilderness)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard-larkins%20pioneer%20area%20(wilderness)"
"slate creek ranger district (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#slate%20creek%20ranger%20district%20(stream)"
"alpine lakes (lake)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#alpine%20lakes%20(lake)"
"main creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#main%20creek%20(stream)"
"spokane (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#spokane%20(city)"
"delaware (state)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#delaware%20(state)"
"boulder-white clouds (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder-white%20clouds%20(landform)"
"selway-bitterroot (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#selway-bitterroot%20(landform)"
"the caribou national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20caribou%20national%20forest%20(forest)"
"the idaho wilderness core (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20idaho%20wilderness%20core%20(wilderness)"
"the west fork (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20west%20fork%20(stream)"
"lost river (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lost%20river%20(stream)"
"west meadow (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#west%20meadow%20(forest)"
"nez perce national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#nez%20perce%20national%20forest%20(forest)"
"abandon mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#abandon%20mountain%20(landform)"
"mouth creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#mouth%20creek%20(stream)"
"kaniksu national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#kaniksu%20national%20forest%20(forest)"
"kootenai (county)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#kootenai%20(county)"
"idaho wilderness (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20wilderness%20(wilderness)"
"clark fork (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#clark%20fork%20(city)"
