subject,count,link
"resource manager, louisiana-pacific corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#resource%20manager,%20louisiana-pacific%20corp"
"senior resource manager, louisiana-pacific corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#senior%20resource%20manager,%20louisiana-pacific%20corp"
"w-i forest products, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#w-i%20forest%20products,%20inc"
"chairman, inland empire society of american foresters",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20inland%20empire%20society%20of%20american%20foresters"
"riley creek lumber co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#riley%20creek%20lumber%20co"
"vice president of exploration, hecla mining co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#vice%20president%20of%20exploration,%20hecla%20mining%20co"
"sunshine mining co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#sunshine%20mining%20co"
"asarco mining co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#asarco%20mining%20co"
"chairman of northwest mining association environmental committee",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman%20of%20northwest%20mining%20association%20environmental%20committee"
"anaconda minerals co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#anaconda%20minerals%20co"
"president, hobbit housing",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20hobbit%20housing"
"inland forest resource council",1,"https://thecdil.github.io/wilderness-hearings/browse.html#inland%20forest%20resource%20council"
"president, panhandle environmental league chapter, idaho conservation league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20panhandle%20environmental%20league%20chapter,%20idaho%20conservation%20league"
"northwest mines association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#northwest%20mines%20association"
"logging superintendent, louisiana-pacific corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#logging%20superintendent,%20louisiana-pacific%20corp"
"chairman, public lands committee, rocky mountain oil and gas association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20public%20lands%20committee,%20rocky%20mountain%20oil%20and%20gas%20association"
"national audubon society",1,"https://thecdil.github.io/wilderness-hearings/browse.html#national%20audubon%20society"
"president, sandpoint civic club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20sandpoint%20civic%20club"
"professor of zoology, university of idaho",1,"https://thecdil.github.io/wilderness-hearings/browse.html#professor%20of%20zoology,%20university%20of%20idaho"
"chairman, idaho fish and game commission",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20idaho%20fish%20and%20game%20commission"
"lower coeur dâ€™alene river outdoor association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lower%20coeur%20d%C3%A2%E2%82%ACTMalene%20river%20outdoor%20association"
"district no. 1 chairman, idaho wildlife federation",1,"https://thecdil.github.io/wilderness-hearings/browse.html#district%20no.%201%20chairman,%20idaho%20wildlife%20federation"
"district representative for congressman larry craig",1,"https://thecdil.github.io/wilderness-hearings/browse.html#district%20representative%20for%20congressman%20larry%20craig"
"director, public affairs, potlatch corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#director,%20public%20affairs,%20potlatch%20corp"
"manager resources logging, konkolville lumber co., inc.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#manager%20resources%20logging,%20konkolville%20lumber%20co.,%20inc."
"potlach corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#potlach%20corp"
"gem state lumber co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#gem%20state%20lumber%20co"
"general manager, wickes forests industries",1,"https://thecdil.github.io/wilderness-hearings/browse.html#general%20manager,%20wickes%20forests%20industries"
"clearwater chapter, idaho conservation league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20chapter,%20idaho%20conservation%20league"
"president, lewiston league of women voters",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20lewiston%20league%20of%20women%20voters"
"secretary, nez perce tribal executive committee",1,"https://thecdil.github.io/wilderness-hearings/browse.html#secretary,%20nez%20perce%20tribal%20executive%20committee"
"executive secretary, associated logging contractors of idaho, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20secretary,%20associated%20logging%20contractors%20of%20idaho,%20inc"
"president, musselman construction co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20musselman%20construction%20co"
"president, r. f. coon logging, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20r.%20f.%20coon%20logging,%20inc"
"grangeville chamber of commerce",1,"https://thecdil.github.io/wilderness-hearings/browse.html#grangeville%20chamber%20of%20commerce"
"president, greater lewiston chamber of commerce",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20greater%20lewiston%20chamber%20of%20commerce"
"president, grangeville chapter, idaho women in timber",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20grangeville%20chapter,%20idaho%20women%20in%20timber"
"resident, clearwater chapter, women in timber",1,"https://thecdil.github.io/wilderness-hearings/browse.html#resident,%20clearwater%20chapter,%20women%20in%20timber"
"getty oil co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#getty%20oil%20co"
"college of forestry, university of idaho",1,"https://thecdil.github.io/wilderness-hearings/browse.html#college%20of%20forestry,%20university%20of%20idaho"
"palouse unit, idaho chapter, american fisheries society.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#palouse%20unit,%20idaho%20chapter,%20american%20fisheries%20society."
"idaho chapter, american fisheries chapter",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20chapter,%20american%20fisheries%20chapter"
"member, idaho fish and game commission",1,"https://thecdil.github.io/wilderness-hearings/browse.html#member,%20idaho%20fish%20and%20game%20commission"
"henderson logging, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#henderson%20logging,%20inc"
"manager, shearer lumber products, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#manager,%20shearer%20lumber%20products,%20inc"
"executive committee member, palouse group, sierra club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20committee%20member,%20palouse%20group,%20sierra%20club"
"dixie outfitters, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#dixie%20outfitters,%20inc"
"d-double-s outfitters, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#d-double-s%20outfitters,%20inc"
"idaho state bow hunters",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20state%20bow%20hunters"
"board of trustees, idaho joint school district no. 241",1,"https://thecdil.github.io/wilderness-hearings/browse.html#board%20of%20trustees,%20idaho%20joint%20school%20district%20no.%20241"
"member, salmon river breaks association.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#member,%20salmon%20river%20breaks%20association."
"logging manager, shearer lumber co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#logging%20manager,%20shearer%20lumber%20co"
"president, northern rockies resource group",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20northern%20rockies%20resource%20group"
"president, united papermakers international union",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20united%20papermakers%20international%20union"
"international woodworkers of america",1,"https://thecdil.github.io/wilderness-hearings/browse.html#international%20woodworkers%20of%20america"
"director, joint administration no. 1, international woodworkers of america",1,"https://thecdil.github.io/wilderness-hearings/browse.html#director,%20joint%20administration%20no.%201,%20international%20woodworkers%20of%20america"
"chairman, columbia river inter- tribal fish commission",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20columbia%20river%20inter-%20tribal%20fish%20commission"
"acting president, clearwater fly casters",1,"https://thecdil.github.io/wilderness-hearings/browse.html#acting%20president,%20clearwater%20fly%20casters"
"vice president, orofino chamber of commerce",1,"https://thecdil.github.io/wilderness-hearings/browse.html#vice%20president,%20orofino%20chamber%20of%20commerce"
"evergreen forest products, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#evergreen%20forest%20products,%20inc"
"vice president and director of production, jacklin seed co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#vice%20president%20and%20director%20of%20production,%20jacklin%20seed%20co"
"senior citizens",1,"https://thecdil.github.io/wilderness-hearings/browse.html#senior%20citizens"
"water",1,"https://thecdil.github.io/wilderness-hearings/browse.html#water"
"hobby",1,"https://thecdil.github.io/wilderness-hearings/browse.html#hobby"
"scientist",1,"https://thecdil.github.io/wilderness-hearings/browse.html#scientist"
